Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP005938,Male,Yes,0,Not Graduate,No,3289.0,125.0,114.4,240.0,1.0,Rural,Y
LP009204,Male,Yes,1,Graduate,No,3065.0,516.0,197.4,240.0,1.0,Semiurban,Y
LP006101,Male,No,0,Graduate,No,4876.0,1975.0,158.1,360.0,1.0,Urban,Y
LP003391,Male,Yes,1,Graduate,No,1445.0,0.0,121.4,180.0,1.0,Semiurban,Y
LP007865,Male,Yes,1,Graduate,No,3697.0,0.0,123.9,360.0,1.0,Urban,Y
LP003546,Male,No,1,Not Graduate,No,3769.0,0.0,128.4,240.0,0.0,Rural,Y
LP005665,Male,Yes,2,Graduate,No,3634.0,3004.0,132.2,360.0,1.0,Semiurban,Y
LP003884,Male,No,0,Graduate,No,2446.0,0.0,141.9,180.0,1.0,Rural,N
LP007096,Male,Yes,0,Graduate,No,4411.0,1555.0,164.1,360.0,1.0,Urban,Y
LP008215,Male,Yes,0,Not Graduate,No,3336.0,2616.0,100.7,360.0,1.0,Semiurban,Y
LP003750,Male,No,0,Graduate,No,4797.0,3070.0,203.3,360.0,1.0,Urban,Y
LP005498,Male,Yes,0,Graduate,No,3803.0,1865.0,94.3,360.0,1.0,Urban,Y
LP006216,Male,No,0,Graduate,No,4435.0,3036.0,86.3,360.0,1.0,Urban,Y
LP009039,Male,Yes,0,Graduate,Yes,4662.0,0.0,162.5,360.0,1.0,Semiurban,Y
LP009445,Male,Yes,0,Not Graduate,No,3382.0,3046.0,160.4,360.0,1.0,Urban,Y
LP006977,Male,Yes,0,Graduate,No,4334.0,975.0,70.1,360.0,1.0,Rural,Y
LP002348,Male,Yes,0,Graduate,No,5829.0,0.0,138.0,360.0,1.0,Rural,Y
LP005536,Male,Yes,0,Graduate,No,3526.0,0.0,88.4,360.0,1.0,Rural,Y
LP004321,Male,Yes,2,Graduate,Yes,4348.0,2152.0,88.1,360.0,1.0,Urban,Y
LP004445,Male,Yes,0,Graduate,Yes,5383.0,1771.0,112.5,360.0,1.0,Rural,Y
LP005501,Male,No,0,Graduate,No,3856.0,3071.0,156.9,240.0,1.0,Urban,N
LP005451,Male,Yes,2,Graduate,No,5768.0,641.0,154.5,360.0,1.0,Rural,Y
LP010498,Male,Yes,1,Graduate,No,3607.0,868.0,93.8,180.0,1.0,Rural,Y
LP005576,Male,Yes,0,Graduate,Yes,4016.0,1758.0,180.3,360.0,1.0,Semiurban,Y
LP005738,Female,Yes,0,Graduate,Yes,3132.0,1715.0,155.4,360.0,1.0,Urban,Y
LP006201,Male,Yes,1,Graduate,No,4502.0,1138.0,0.0,120.0,1.0,Urban,Y
LP003892,Male,Yes,0,Graduate,No,4062.0,1454.0,153.2,240.0,1.0,Rural,Y
LP008079,Male,Yes,0,Graduate,Yes,4958.0,2418.0,114.6,180.0,0.0,Urban,Y
LP010675,Male,Yes,0,Graduate,No,3645.0,2761.0,149.0,240.0,1.0,Urban,Y
LP009902,Female,No,0,Graduate,No,4920.0,2808.0,117.3,360.0,1.0,Urban,Y
LP002236,Male,Yes,2,Graduate,No,4566.0,0.0,100.0,360.0,1.0,Urban,N
LP002024,,Yes,0,Graduate,No,2473.0,1843.0,159.0,360.0,1.0,Rural,N
LP006567,Male,Yes,0,Not Graduate,No,3510.0,524.0,78.9,300.0,0.0,Urban,Y
LP005500,Male,Yes,0,Graduate,No,3744.0,630.0,98.5,360.0,1.0,Semiurban,Y
LP007954,Male,Yes,0,Graduate,No,2356.0,164.0,159.1,360.0,1.0,Semiurban,N
LP005535,Female,No,0,Graduate,No,5989.0,2994.0,196.8,360.0,1.0,Rural,N
LP005876,Male,Yes,2,Graduate,No,0.0,3540.0,136.7,360.0,1.0,Urban,Y
LP005085,Male,Yes,1,Not Graduate,No,4847.0,0.0,107.8,360.0,1.0,Rural,Y
LP004544,Female,No,0,Graduate,No,5356.0,0.0,121.9,240.0,1.0,Semiurban,Y
LP009391,Male,Yes,2,Graduate,No,5531.0,2309.0,118.3,180.0,1.0,Rural,Y
LP007199,Female,Yes,1,Graduate,No,3671.0,1147.0,147.7,360.0,1.0,Rural,Y
LP008085,Male,No,0,Graduate,No,4248.0,2370.0,175.2,360.0,1.0,Urban,Y
LP007823,Female,No,2,Graduate,No,3905.0,742.0,124.4,360.0,1.0,Semiurban,Y
LP008372,Female,No,2,Not Graduate,No,2611.0,0.0,131.6,360.0,0.0,Rural,Y
LP002098,Male,No,0,Graduate,No,2935.0,0.0,98.0,360.0,1.0,Semiurban,Y
LP004271,Male,Yes,0,Graduate,No,,1932.0,138.3,360.0,1.0,Urban,Y
LP003851,Male,Yes,0,Graduate,No,4265.0,2359.0,95.0,360.0,0.0,Urban,Y
LP007303,Male,Yes,0,Graduate,No,5876.0,942.0,136.9,360.0,1.0,Rural,N
LP006437,Female,Yes,0,Graduate,No,7244.0,0.0,75.6,360.0,1.0,Urban,Y
LP010131,Male,Yes,0,Graduate,No,3684.0,1565.0,127.1,240.0,1.0,Rural,Y
LP008327,Female,No,0,Graduate,No,3963.0,2104.0,122.8,360.0,1.0,Semiurban,Y
LP007058,Female,Yes,2,Graduate,No,3972.0,1573.0,1000.0,360.0,1.0,Urban,Y
LP006605,Male,Yes,2,Graduate,No,2631.0,1575.0,193.1,180.0,1.0,Semiurban,Y
LP004701,Male,Yes,1,Graduate,No,4557.0,3032.0,128.4,360.0,1.0,Rural,Y
LP010079,Male,Yes,0,Graduate,No,4784.0,1099.0,125.6,360.0,0.0,Semiurban,N
LP007564,Female,Yes,0,Graduate,No,4389.0,0.0,76.1,360.0,1.0,Semiurban,Y
LP001100,Male,No,3+,Graduate,No,12500.0,3000.0,320.0,360.0,1.0,Rural,N
LP006343,Male,Yes,2,Not Graduate,Yes,2599.0,1645.0,148.0,360.0,1.0,Semiurban,Y
LP005580,Male,No,0,Graduate,No,3458.0,1670.0,127.9,360.0,1.0,Rural,N
LP008136,Male,Yes,2,Graduate,No,3169.0,1170.0,184.4,360.0,1.0,Semiurban,Y
LP004495,Male,Yes,0,Graduate,No,974.0,1128.0,114.5,360.0,1.0,Urban,Y
LP001518,Male,Yes,1,Graduate,No,1538.0,1425.0,30.0,360.0,1.0,Urban,Y
LP009455,Female,Yes,1,Graduate,No,4941.0,2431.0,155.0,360.0,1.0,Rural,N
LP004206,Female,Yes,0,Graduate,No,2954.0,195.0,170.8,240.0,0.0,Rural,N
LP009616,Female,Yes,2,Graduate,No,3662.0,0.0,136.0,360.0,1.0,Semiurban,Y
LP008695,Male,Yes,2,Graduate,No,4166.0,0.0,151.9,360.0,0.0,Urban,Y
LP005820,Female,No,0,Graduate,No,3094.0,0.0,159.0,180.0,1.0,Urban,Y
LP009245,Male,Yes,0,Not Graduate,No,5064.0,157.0,87.2,120.0,1.0,Urban,Y
LP010249,Male,Yes,0,Graduate,No,3268.0,0.0,140.3,360.0,1.0,Semiurban,Y
LP010265,Female,Yes,0,Graduate,No,3678.0,0.0,1000.0,360.0,0.0,Semiurban,Y
LP005114,,Yes,2,Graduate,No,5675.0,1160.0,126.5,360.0,1.0,Rural,Y
LP004575,Female,No,0,Graduate,No,5490.0,49.0,117.1,120.0,1.0,Semiurban,Y
LP003418,Female,No,0,Graduate,No,2831.0,2785.0,155.3,360.0,1.0,Urban,Y
LP006187,Male,Yes,0,Graduate,Yes,4065.0,3667.0,133.1,300.0,1.0,Rural,Y
LP001915,Male,Yes,2,Graduate,No,2301.0,985.7999878,78.0,180.0,1.0,Urban,Y
LP008968,Male,Yes,0,Graduate,Yes,3650.0,2559.0,169.3,360.0,1.0,Semiurban,Y
LP008571,Male,Yes,1,Graduate,No,4277.0,293.0,133.9,120.0,0.0,Urban,Y
LP008800,Male,No,2,Graduate,Yes,2139.0,0.0,209.8,360.0,1.0,Urban,N
LP006050,Male,Yes,0,Graduate,No,2528.0,782.0,181.4,240.0,1.0,Semiurban,Y
LP005924,Female,Yes,2,Not Graduate,No,5908.0,2190.0,126.0,240.0,1.0,Semiurban,Y
LP006930,Female,Yes,0,Graduate,No,7525.0,0.0,126.4,360.0,0.0,Urban,Y
LP008670,Male,Yes,0,Graduate,Yes,3053.0,0.0,107.4,240.0,1.0,Urban,Y
LP007289,Male,Yes,3+,Graduate,No,4717.0,1628.0,39.4,360.0,0.0,Urban,Y
LP003646,Male,No,2,Graduate,No,2117.0,0.0,110.1,180.0,1.0,Semiurban,Y
LP004668,Male,Yes,0,Graduate,No,4301.0,2003.0,142.9,360.0,1.0,Semiurban,Y
LP007976,Male,No,2,Graduate,No,3144.0,1877.0,100.2,360.0,0.0,Rural,N
LP007179,Male,No,2,Graduate,No,1792.0,1452.0,54.2,240.0,1.0,Urban,Y
LP008456,Male,Yes,0,Graduate,No,5514.0,853.0,0.0,360.0,1.0,Semiurban,N
LP006028,Male,Yes,0,Graduate,No,2435.0,0.0,23.3,120.0,1.0,Semiurban,Y
LP010049,Male,No,0,Graduate,No,,2910.0,124.9,360.0,0.0,Urban,Y
LP006641,Male,Yes,0,Graduate,No,4321.0,2141.0,153.4,360.0,1.0,Urban,Y
LP006521,Male,Yes,0,Graduate,No,4646.0,586.0,177.3,240.0,1.0,Urban,Y
LP005640,Female,Yes,2,Graduate,No,5925.0,0.0,174.5,120.0,1.0,Semiurban,Y
LP004448,Male,Yes,0,Graduate,Yes,4408.0,3031.0,23.3,360.0,1.0,Rural,Y
LP004468,Male,No,0,Graduate,No,2692.0,765.0,102.6,360.0,1.0,Rural,Y
LP009563,Male,No,1,Not Graduate,No,4974.0,2272.0,148.7,360.0,0.0,Semiurban,Y
LP008930,Male,Yes,0,Graduate,No,3758.0,1598.0,122.0,240.0,1.0,Rural,N
LP008470,Male,Yes,0,Graduate,Yes,5486.0,3147.0,127.2,360.0,1.0,Rural,Y
LP003174,Male,Yes,0,Graduate,No,6997.0,1500.0,115.1,360.0,1.0,Urban,Y
LP007860,Male,Yes,0,Graduate,Yes,1775.0,1881.0,100.7,240.0,1.0,Rural,Y
LP006184,Male,No,0,Graduate,No,1.0,1903.0,119.6,120.0,1.0,Rural,Y
LP004768,Male,Yes,0,Graduate,No,3844.0,158.0,101.7,120.0,1.0,Urban,N
LP007490,Male,Yes,0,Graduate,No,3766.0,1.0,101.8,360.0,1.0,Semiurban,Y
LP009861,Male,Yes,0,Graduate,No,4372.0,1551.0,63.0,120.0,1.0,Urban,Y
LP010392,Female,No,0,Graduate,No,4010.0,0.0,167.3,180.0,1.0,Urban,Y
LP006038,Male,Yes,0,Graduate,No,3791.0,851.0,175.3,360.0,1.0,Urban,Y
LP005368,Male,No,0,Graduate,No,2844.0,2072.0,171.4,360.0,1.0,Semiurban,Y
LP003137,Male,No,0,Graduate,No,4813.0,330.0,100.4,240.0,1.0,Semiurban,Y
LP004248,Male,Yes,0,Graduate,No,2773.0,1314.0,115.2,180.0,1.0,Semiurban,Y
LP005392,Male,Yes,0,Graduate,No,1929.0,619.0,167.5,240.0,1.0,Semiurban,Y
LP001536,Male,Yes,3+,Graduate,No,39999.0,0.0,600.0,180.0,0.0,Semiurban,Y
LP004408,Male,Yes,1,Graduate,No,1579.0,0.0,134.4,360.0,1.0,Urban,Y
LP006466,Male,No,0,Graduate,No,3743.0,690.0,140.1,360.0,1.0,Urban,Y
LP009096,Male,Yes,0,Not Graduate,No,3528.0,2406.0,146.9,360.0,1.0,Rural,Y
LP010438,Male,Yes,1,Graduate,Yes,4585.0,1728.0,127.4,240.0,1.0,Urban,Y
LP004391,Male,No,0,Not Graduate,Yes,6005.0,1363.0,87.9,180.0,1.0,Semiurban,Y
LP008887,Male,Yes,3+,Graduate,No,3629.0,196.0,167.0,360.0,0.0,Semiurban,Y
LP007266,Male,Yes,0,Graduate,Yes,2119.0,0.0,169.3,360.0,1.0,Semiurban,Y
LP008727,Male,Yes,0,Graduate,No,3776.0,1462.0,75.4,360.0,,Rural,Y
LP010883,Female,Yes,0,Graduate,No,3285.0,0.0,171.6,360.0,1.0,Urban,Y
LP004517,Male,Yes,3+,Graduate,No,3663.0,542.0,,240.0,1.0,Semiurban,Y
LP009101,Male,Yes,2,Graduate,No,4543.0,1435.0,119.5,360.0,1.0,Semiurban,Y
LP006493,Female,Yes,1,Graduate,No,4276.0,1241.0,143.2,360.0,1.0,Urban,Y
LP010021,Male,Yes,2,Graduate,No,4368.0,0.0,184.0,360.0,0.0,Semiurban,Y
LP008847,Male,Yes,0,Graduate,No,4959.0,2807.0,128.3,360.0,1.0,Urban,Y
LP010258,Male,Yes,0,Graduate,No,2936.0,785.0,150.8,360.0,1.0,Rural,N
LP007741,Female,Yes,3+,Graduate,Yes,4200.0,1467.0,95.2,180.0,1.0,Semiurban,Y
LP009421,Male,No,0,Not Graduate,No,3428.0,0.0,105.9,360.0,1.0,Urban,Y
LP004352,Male,Yes,0,Graduate,No,4263.0,1844.0,155.3,360.0,1.0,Rural,Y
LP010365,Male,No,0,Not Graduate,No,3398.0,269.0,72.7,180.0,1.0,Semiurban,Y
LP009415,Male,No,2,Graduate,No,4039.0,193.0,133.1,180.0,1.0,Urban,Y
LP003434,Male,Yes,0,Graduate,No,2518.0,0.0,145.7,360.0,1.0,Urban,Y
LP006729,Male,No,0,Not Graduate,No,5082.0,1114.0,120.9,360.0,1.0,Urban,Y
LP004419,Male,Yes,2,Graduate,No,1587.0,0.0,119.6,360.0,1.0,Rural,Y
LP007119,Male,No,3+,Graduate,No,4253.0,1037.0,37.6,360.0,1.0,Semiurban,Y
LP006370,Female,Yes,0,Graduate,No,5230.0,1745.0,130.5,360.0,1.0,Semiurban,N
LP010879,Male,No,1,Graduate,Yes,4262.0,364.0,138.8,360.0,1.0,Rural,Y
LP002113,Female,No,3+,Not Graduate,No,1830.0,0.0,,360.0,0.0,Urban,N
LP002369,Male,Yes,0,Graduate,No,2920.0,16.12000084,87.0,360.0,1.0,Rural,Y
LP007366,Male,Yes,0,Graduate,No,2296.0,2493.0,97.4,180.0,1.0,Semiurban,Y
LP004610,Male,Yes,2,Not Graduate,No,4338.0,1886.0,134.0,360.0,1.0,Rural,Y
LP006630,Male,Yes,0,Graduate,Yes,4959.0,842.0,106.1,360.0,1.0,Semiurban,Y
LP006179,Male,No,0,Graduate,No,5120.0,2016.0,172.3,360.0,1.0,Semiurban,Y
LP006674,Male,No,0,Graduate,No,1373.0,2740.0,129.4,240.0,1.0,Rural,Y
LP007054,Female,No,0,Graduate,No,4827.0,736.0,102.0,360.0,0.0,Urban,N
LP008341,Male,No,0,Graduate,No,2222.0,3551.0,119.0,360.0,1.0,Rural,Y
LP009377,Male,No,0,Graduate,No,2819.0,2208.0,96.9,120.0,0.0,Urban,N
LP008020,Male,No,3+,Graduate,No,4282.0,0.0,93.5,360.0,1.0,Semiurban,Y
LP007753,Female,Yes,3+,Not Graduate,No,4493.0,1378.0,105.3,240.0,1.0,Semiurban,Y
LP001691,Male,Yes,2,Not Graduate,No,3917.0,0.0,124.0,360.0,1.0,Semiurban,Y
LP003479,Female,Yes,0,Graduate,No,2468.0,951.0,122.3,360.0,1.0,Urban,Y
LP009641,Female,Yes,2,Graduate,Yes,3366.0,353.0,108.1,360.0,0.0,Rural,N
LP009338,Male,No,0,Not Graduate,No,3278.0,2635.0,142.5,300.0,1.0,Semiurban,Y
LP010202,Male,Yes,2,Graduate,Yes,2980.0,1607.0,121.5,360.0,1.0,Rural,Y
LP005222,Male,Yes,0,Graduate,Yes,4479.0,1025.0,139.8,300.0,1.0,Semiurban,Y
LP004912,Male,Yes,0,Graduate,No,3165.0,1229.0,147.4,360.0,1.0,Rural,Y
LP004595,Male,Yes,0,Graduate,No,900.0,1253.0,83.7,300.0,1.0,Rural,Y
LP008263,Male,Yes,0,Graduate,No,4821.0,320.0,143.0,120.0,0.0,Urban,Y
LP005005,Male,Yes,0,Graduate,No,,1493.0,100.7,300.0,1.0,Semiurban,Y
LP009510,Male,No,0,Graduate,No,2879.0,229.0,134.3,120.0,1.0,Semiurban,Y
LP005710,Male,No,0,Graduate,No,2273.0,2587.0,79.5,360.0,1.0,Rural,N
LP008345,Female,Yes,2,Graduate,No,2036.0,1122.0,84.0,360.0,1.0,Urban,N
LP010121,Female,No,3+,Not Graduate,Yes,4165.0,2549.0,108.0,240.0,1.0,Semiurban,Y
LP009043,Male,No,1,Graduate,No,4578.0,949.0,98.2,360.0,1.0,Rural,Y
LP009869,Male,Yes,0,Graduate,No,3846.0,1633.0,116.7,360.0,1.0,Semiurban,N
LP005065,Male,Yes,0,Graduate,No,2632.0,1534.0,173.7,360.0,1.0,Urban,Y
LP005703,Male,No,0,Graduate,No,1455.0,3349.0,211.1,360.0,1.0,Urban,Y
LP007878,Male,,0,Graduate,No,6001.0,3586.0,148.4,360.0,0.0,Urban,Y
LP003828,Male,No,0,Graduate,No,4893.0,8.0,93.2,360.0,1.0,Urban,Y
LP009653,Male,Yes,0,Not Graduate,No,3870.0,2465.0,166.8,360.0,1.0,Urban,Y
LP006133,Male,Yes,0,Graduate,No,3648.0,2024.0,171.8,360.0,1.0,Rural,N
LP007316,Female,Yes,1,Graduate,No,3473.0,479.0,150.1,180.0,1.0,Urban,Y
LP008370,Male,No,2,Not Graduate,No,4612.0,3666.0,156.3,360.0,1.0,Urban,Y
LP010868,Male,Yes,0,Graduate,No,2976.0,2671.0,128.7,240.0,1.0,Urban,N
LP010525,Male,No,0,Graduate,No,3220.0,3373.0,156.2,360.0,1.0,Rural,Y
LP008996,Male,No,0,Not Graduate,No,4482.0,1326.0,189.1,360.0,1.0,Rural,Y
LP001722,Male,Yes,0,Graduate,No,150.0,1800.0,135.0,360.0,1.0,Rural,N
LP005016,Female,Yes,1,Graduate,Yes,3262.0,2643.0,69.4,360.0,1.0,Rural,Y
LP004364,Male,Yes,0,Graduate,Yes,3895.0,3418.0,114.2,360.0,1.0,Urban,Y
LP008559,Female,Yes,0,Graduate,No,2009.0,2595.0,185.0,360.0,0.0,Urban,N
LP003978,Male,No,1,Graduate,No,4190.0,886.0,151.6,360.0,1.0,Urban,N
LP007080,Male,Yes,0,Graduate,No,4661.0,1166.0,158.6,360.0,1.0,Rural,Y
LP003047,Male,No,0,Graduate,No,3820.0,1576.0,137.4,360.0,1.0,Semiurban,Y
LP009308,Male,Yes,0,Graduate,No,4838.0,1728.0,150.2,360.0,1.0,Semiurban,Y
LP009166,Male,Yes,0,Graduate,No,3136.0,1986.0,142.7,360.0,1.0,Semiurban,Y
LP005125,Male,No,0,Graduate,No,4649.0,1538.0,126.5,360.0,1.0,Semiurban,Y
LP005954,Male,Yes,0,Not Graduate,No,2424.0,603.0,107.4,360.0,1.0,Semiurban,Y
LP003421,Male,Yes,0,Graduate,No,3052.0,2067.0,151.8,360.0,1.0,Semiurban,N
LP005310,Male,Yes,1,Graduate,No,4812.0,2215.0,176.7,360.0,1.0,Urban,Y
LP007899,Male,Yes,0,Graduate,No,3677.0,1933.0,91.6,360.0,1.0,Rural,N
LP009004,Male,No,2,Graduate,No,5529.0,1518.0,112.5,360.0,1.0,Semiurban,Y
LP009300,Male,No,0,Not Graduate,No,3786.0,128.0,189.6,360.0,1.0,Urban,Y
LP003198,Male,Yes,0,Graduate,No,2426.0,2753.0,167.7,360.0,0.0,Urban,N
LP004090,Male,Yes,1,Not Graduate,No,4024.0,1574.0,165.9,240.0,1.0,Urban,Y
LP001996,Male,No,0,Graduate,No,20233.0,0.0,480.0,360.0,1.0,Rural,N
LP003433,Female,Yes,0,Graduate,No,4396.0,1982.0,107.7,360.0,1.0,Semiurban,Y
LP008155,Male,No,2,Not Graduate,No,5082.0,0.0,103.0,300.0,1.0,Semiurban,Y
LP008354,Male,No,0,Graduate,No,4788.0,3205.0,125.6,360.0,1.0,Urban,Y
LP005241,Female,Yes,3+,Graduate,No,3055.0,1391.0,82.3,360.0,0.0,Semiurban,Y
LP005610,Male,No,0,Not Graduate,No,2614.0,0.0,172.2,360.0,1.0,Rural,Y
LP004777,Female,No,2,Graduate,No,2697.0,2961.0,132.2,240.0,1.0,Rural,Y
LP003400,Male,Yes,0,Not Graduate,No,0.0,1798.0,147.4,300.0,1.0,Semiurban,Y
LP009531,Male,Yes,2,Graduate,Yes,2134.0,1868.0,161.2,360.0,1.0,Rural,Y
LP007069,Male,No,,Not Graduate,No,4521.0,2405.0,111.2,360.0,1.0,Semiurban,Y
LP008524,Male,Yes,0,Graduate,No,5798.0,2599.0,82.6,360.0,1.0,Rural,Y
LP009074,Male,Yes,0,Graduate,No,2880.0,875.0,117.3,360.0,1.0,Urban,N
